"নিদারুণ প্রতারণা!!

১১৯ টাকা চিকেন বার্গার ছিলো ভ্যাট ছাড়া। স্বাদটাও ছিলো দারুণ। 
কিন্তু অফার দিয়ে ৯৯ টাকা করে সাথে ভ্যাটটাও জুড়ে দিছে। ১১৫ টাকা। স্বাদটাও জঘন্য। আমাকে তো আগের বানানোটা দিয়েছিলো, একদম ঠান্ডা । বান রেখেই চলে আসছি।

এতো জঘন্য বার্গার কখনো খাই নি। লাগলে অফার ছাড়া আগের মতো বার্গার দেন। তারপরও এই বাটপারি ছাড়েন। -_-","1"
"অনেক ভদ্র তাদের ব্যাবহার... খাবার টেস্ট মাশা-আল্লাহ... বিশেষ করে তাদের পিজাটা... �� পরিবেশ ভালোই... মার্কেটটা ঠিক করে সাজালে ভিতরে বাইরে আরো ভালো লাগবে... ��
","5"
"Onek khon age banano pizza oven e diye gorom kore ene dise, bread theke cheese alada hoye gese thanda howar jonno, taste khubi baze,

Service motamuti, 
Place ta valo na, ac may b thik moto kaj kore na,cz khub gorom lagtesilo, bolar por o kisui hoy nai...
Totally disappointed....  :(","1"
"ভালো লাগেনি। অফারের সময় অন্য আইটেম পাওয়া যায়না। প্রথম প্রথম ভালো সার্ভিস দিয়ে পরে খাবারের মান খারাপ হয়ে যায়। প্লেস ভালো না। আপনারা এখন এতো পপুলার অথচ ৭ তলায় উঠার মাত্র একটি লিফট তারপর আবার কোন স্পেস নেই যে বাতাস ভেতরে ঢুকবে ।
","1"
"এত ফালতু pizza,,, চিজ তো না গরুর চর্বি,,কেপসিকাম তো গূনে গূনে দিছে।।নিজের লোক দিয়া review না দিয়া খাওয়ার quality ঠিক করেন।বাটপারি করে বেশিদিন ব্যবসা করা যায় ণা।
","1"
"আমার খুব একটা খারাপ লাগে নাই । স্টাফদের বিহেভ ভাল ছিল । স্পেশালি রায়হান নামে এক ছেলের :) পিজ্জা গরম অবস্থায় পিজ্জা ভাল ছিল । পরে মেজাজ গরম হচ্ছিল । আর ভিতরে নয়েজ অনেক । এইটা মেইন্টেইন করলে আর খাবারের মান আরেকটু বাড়ালে ভাল হবে ।
","3"
"সব কথার এক কথা ""পুরাই মাথা নষ্ট""
খাবার থেকে শুরু করে service সব কিছুই মন মত ছিল।","5"
"মজা ছিল পিৎজা টা।","5"
"তাদের ব্যবহার খুবি ভাল কিন্ত অনেক সময় লাগে একটা খাবার দিতে... 
গতকাল আমরা ৯জন গিয়েছিলাম আর বাকিটা ইতিহাস...�����","1"
"গতকাল সন্ধ্যায় গিয়ে অবাক হলাম এটা রেস্টুরেন্ট নাকি মাস্তানি। আমরা বসে আছি এ অবস্থায় ভিতরে মারামারি। ভাল মানুষের রেস্টুরেন্ট এ মারামারি হয়? অসম্ভব। এরপর পুলিশ...। কত যে কি হল... পরে জান নিয়ে পালালাম। আমি আর যাব না।
","1"
